llavemod,llaveviv,llavehog,edad_v,niv,gra,p3_1a,p3_2,p3_3,p3_4,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_6,p3_7,p3_8,p3_9,p3_10,p3_11a,p3_11b,p3_12,p3_13,p3_14,p3_15,p3_15_epc,p3_15_muc,p3_16,p4_1,p4_2_1,p4_2_2,p4_2_3,p4_2_4,p4_2_5,p4_3,p4_4_1,p4_4_2,p4_4_3,p4_4_4,p4_4_5,p4_4_6,p4_4_7,p4_5,p4_6_1,p4_6_2,p4_6_3,p4_6_4,p4_6_5,p4_6_6,p4_7_1,p4_7_2,p4_7_3,p4_8_1,p4_8_2,p4_8_3,p4_8_4,p4_8_5,p4_8_6,p4_9_1,p4_9_2,p4_9_3,p4_9_4,p4_10,p4_11,p4_12_01,p4_12_02,p4_12_03,p4_12_04,p4_12_05,p4_12_06,p4_12_07,p4_12_08,p4_12_09,p4_12_99,p5_1_1,p5_1_2,p5_1_3,p5_1_4,p5_1_5,p5_1_6,p5_2_1,p5_2_2,p5_2_3,p5_2_4,p5_2_5,p5_2_6,p5_2_7,p5_2_8,p5_2_9,p5_3,p5_4_1,p5_5_1,p5_6_1,p5_4_2,p5_5_2,p5_6_2,p5_4_3,p5_5_3,p5_6_3,p5_4_4,p5_5_4,p5_6_4,p5_4_5,p5_5_5,p5_6_5,p5_4_6,p5_6_6,p5_4_7,p5_6_7,p5_4_8,p5_5_8,p5_6_8,p5_4_9,p5_5_9,p5_6_9,p5_7_01,p5_7_02,p5_7_03,p5_7_04,p5_7_05,p5_7_06,p5_7_07,p5_7_08,p5_7_09,p5_7_10,p5_7_99,filtro_s5_1,p5_8_1,p5_8_2,p5_8_3,p5_8_4,p5_8_5,p5_8_6,p5_8_7,p5_8_8,p5_8_9,p5_9,filtro_s5_2,p5_10,filtro_s5_3,p5_11,p5_12,p5_13,p5_14,p5_15_1,p5_15_2,p5_15_3,p5_15_4,p5_15_5,p5_15_6,p5_15_7,p5_16,p5_17_1,p5_17_2,p5_17_3,p5_17_4,p5_17_5,p5_17_6,p5_17_7,p5_17_8,p5_18,p5_19,p5_20,p5_21,p5_22,p5_23,p5_24_1,p5_24_2,p5_24_3,p5_24_4,p5_24_5,p5_24_6,p5_24_9,p6_1_1,p6_1_2,p6_1_3,p6_1a_3,p6_1_4,p6_1a_4,p6_1_5,p6_1a_5,p6_2_1,p6_3_1,p6_4_1,p6_2_2,p6_3_2,p6_4_2,p6_2_3,p6_3_3,p6_4_3,p6_2_4,p6_3_4,p6_4_4,p6_2_5,p6_3_5,p6_4_5,p6_2_6,p6_3_6,p6_4_6,p6_2_7,p6_3_7,p6_4_7,p6_2_8,p6_3_8,p6_4_8,p6_2_9,p6_3_9,p6_4_9,p6_5_1,p6_5_2,p6_5_3,p6_5_4,p6_6,p6_7,filtro_s6_1,p6_8,p6_9,p6_10,p6_11_1,p6_11_2,p6_11_3,p6_11_4,p6_11_5,p6_11_6,p6_11_7,p6_12,p6_12a,p6_13,p6_14,p6_15,p6_16,p6_17_1,p6_17_2,p6_17_3,p6_17_4,p6_17_5,p6_17_6,p6_17_9,p7_1_1,p7_1_2,p7_2_1,p7_3_1,p7_2_2,p7_3_2,p7_4,p7_5,p7_6,p7_7,p7_8_1,p7_9_1_1,p7_9_1_2,p7_9_1_3,p7_8_2,p7_9_2_1,p7_9_2_2,p7_9_2_3,p7_8_3,p7_9_3_1,p7_9_3_2,p7_9_3_3,p7_8_4,p7_9_4_1,p7_9_4_2,p7_9_4_3,p7_8_5,p7_9_5_1,p7_9_5_2,p7_9_5_3,p7_10,p8_1,p8_2,p8_3,p8_4,p8_5_1,p8_6_1,p8_5_2,p8_6_2,p8_7_2,p8_8_2,p8_5_3,p8_6_3,p8_7_3,p8_8_3,p8_5_4,p8_6_4,p8_7_4,p8_8_4,p8_5_5,p8_6_5,p8_7_5,p8_8_5,p8_5_6,p8_5_7,p8_5_8,p8_6_8,p8_7_8,p8_8_8,filtro_s8_1,p8_9,p8_10_1,p8_10_2,p8_10_3,p8_10_4,p8_10_5,p8_11,p8_12_1,p8_12_2,p8_12_3,p8_12_4,p8_12_5,p8_12_6,p8_12_7,p9_1,p9_1a,p9_2,p9_3,p9_4,p9_5,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p9_6_5,p9_6_6,p9_6_7,p9_6_8,p9_7,p9_8,filtro_s9_1,p9_9_1,p9_9_2,p9_9_3,p9_9_4,p9_9_5,p9_9_6,p10_1,p10_2,p10_3_1,p10_3_2,p10_4,p10_5,p10_6_1,p10_6_2,p10_7,p10_8,p10_9_1,p10_9_2,p11_1_1,p11_1_2,p11_1_3,p11_1_4,p11_1_5,p11_2_1,p11_2_2,p11_2_3,p11_3_1,p11_3_2,p11_3_3,p11_3_4,p11_3_5,p11_3_6,p11_3_9,p11_4,p11_5,p11_6_1,p11_6_2,p11_6_3,p11_6_4,p11_7,p12_1,p12_2,p12_3,p12_4,p13_1,p13_2_1,p13_3_1,p13_4_1,p13_2_2,p13_3_2,p13_4_2,p13_2_3,p13_3_3,p13_4_3,p13_2_4,folio,viv_sel,hogar,n_ren,sexo,tloc,region,est_dis,upm_dis,fac_per
0858302103,0858302,08583021,40,03,3,2,6,2,2,1,1,1,2,1,1,1,1,2,,1,,1,01000,1,1,7,1,1,010,,,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,3,1,1,3,1,1,1,3,1,1,3,3,3,2,2,2,2,1,2,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,07,,,2,,,,,,,,2,2,1,2,1,2,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,1,4,1,1,88,,1,2,2,1,2,2,2,2,2,2,,,,3,,,,,,,,3,3,1,2,2,,2,1,2,1,1,2,2,1,2,,,,1,2,2,1,1,2,2,1,2,,,,2,9,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,03,,,1,,00,30,1,,00,05,1,2,1,1,1,2,2,1,0,0,0,0,0,0,1,,,3,2,1,1,1,1,9,1,3,2,2,,,2,,,2,,,2,08583,02,1,03,2,1,1,054,00802,5171
0858405101,0858405,08584051,28,08,4,2,6,2,2,1,1,1,1,2,1,1,1,2,,1,,1,05000,2,1,1,1,1,028,,,2,1,2,1,2,1,1,,,,,,,,2,1,2,1,3,3,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1,2,,,2,,,2,,,2,,,2,,2,,1,2,2,2,,,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,1,2,,,,2,,,,,,,,4,0,1,0,0,0,0,0,0,2,,,,1,2,,,,,,,,2,2,2,,2,,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,9,1,2,2,4,1,1,88,,2,,,,,,,,2,2,,,,1,0,0,0,1,0,0,0,2,2,1,2,2,,2,2,,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,,,,1,2,2,,,,2,,,,2,,,,2,,,,2,2,2,,,,2,,,,,,,,,,,,,,,1,,,2,3,2,0,0,0,0,0,0,0,1,2,2,2,9,1,2,2,2,2,2,03,,,1,,00,15,1,,00,10,1,1,1,1,1,2,2,1,0,1,0,1,0,0,0,3,,1,2,1,1,1,1,2,2,3,1,2,,,2,,,2,,,2,08584,05,1,01,2,1,2,163,01918,1692
0858503102,0858503,08585031,28,06,3,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1,,5,06000,3,2,7,1,1,018,,,2,2,2,2,2,2,1,,,,,,,,2,1,1,1,1,3,2,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,,2,,,,,,,,2,2,2,,2,,2,,2,,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,2,2,2,1,1,1,02,,2,,,,,,,,2,2,,,,2,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,9,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,,,,,,,,,,,,,,2,2,2,1,1,2,2,2,02,,,2,2,,,1,,00,10,2,9,9,9,9,2,2,2,0,0,0,0,0,0,1,,,2,2,2,2,2,1,3,2,9,2,2,,,2,,,2,,,2,08585,03,1,02,2,1,3,103,01239,1690
0858601102,0858601,08586011,50,08,5,2,5,2,2,1,1,1,1,1,1,1,1,2,,1,,5,99888,,,7,1,1,019,,,2,2,1,2,2,2,1,,,,,,,,1,1,1,3,2,2,2,1,2,1,3,3,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,2,2,2,2,1,2,0,1,1,0,0,0,0,0,0,4,2,,,2,,,2,,,1,1,1,2,,,2,,2,,2,,,2,,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,,1,88,,,2,,,,,,,,1,0,0,0,0,0,1,0,0,2,,,,4,2,,,,,,,,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,7,,3,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,4,2,0,0,0,0,0,0,0,1,2,1,2,1,2,2,2,1,2,1,,00,08,1,,00,04,1,,00,03,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,1,,3,3,1,1,1,1,2,1,3,2,1,5,2,2,,,2,,,2,08586,01,1,02,2,1,2,107,01308,6592
0858704104,0858704,08587041,60,08,5,2,5,2,2,1,1,1,1,1,1,1,1,9,,5,7,,,,,,1,1,019,,,2,2,2,2,2,2,1,,,,,,,,2,1,1,3,3,1,1,1,2,1,1,3,3,1,1,2,2,1,2,2,3,2,,,,,,,,,,,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,3,2,,,1,1,1,2,,,2,,,2,,,2,,2,,2,,,2,,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,,1,03,,,2,,,,,,,,1,0,0,1,0,0,0,0,0,2,,,,4,1,0,0,0,0,0,0,1,2,2,2,,2,,2,,2,,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,1,1,1,1,03,,2,,,,,,,,2,2,,,,1,0,1,0,0,0,0,0,3,3,2,,2,,2,2,,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,,,,3,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,6,1,0,0,0,1,0,0,0,0,1,4,2,1,1,2,2,2,2,2,03,,,1,,00,10,1,,00,15,1,1,1,1,1,2,2,1,0,0,0,1,0,0,0,2,6,2,2,2,2,1,1,2,1,1,2,1,5,3,2,,,2,,,2,08587,04,1,04,1,1,2,106,01292,16932
0858801103,0858801,08588011,30,06,3,2,6,2,2,1,1,1,1,1,1,1,1,2,,1,,1,02500,1,1,1,1,1,005,,,2,2,1,2,2,2,1,,,,,,,,2,1,1,2,2,2,2,1,1,2,3,2,2,3,2,1,2,2,2,2,2,2,,,,,,,,,,,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,1,1,1,10,,,2,,,,,,,,2,0,1,0,0,0,0,0,0,2,,,,1,2,,,,,,,,2,2,2,,1,2,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,7,,3,,,,,,,,3,3,2,,2,,2,2,,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,2,0,0,0,0,0,0,0,1,1,6,2,9,1,2,9,2,2,1,,00,15,1,,00,15,1,,00,05,9,1,1,9,1,2,1,2,1,0,0,0,0,0,0,3,,2,2,2,2,1,1,2,2,3,1,2,,,2,,,2,,,2,08588,01,1,03,2,1,2,030,00363,4091
0858914101,0858914,08589141,49,03,3,2,6,2,2,1,1,1,1,1,1,1,1,2,,7,7,,,,,,1,1,005,,,2,1,1,1,2,2,1,,,,,,,,2,2,1,2,2,3,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,,,,,,,,,,,2,2,2,2,1,2,0,1,0,0,0,0,0,0,0,3,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4,2,,,,,,,,2,2,2,,2,,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,1,4,1,1,01,,1,1,1,2,2,2,2,2,2,2,,,,2,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,2,,,,3,1,,,,2,,2,,,,1,2,3,,2,,,,2,,,,2,2,2,,,,2,,,,,,,,,,,,,,,1,,,2,1,1,0,0,0,1,0,0,0,0,1,4,2,9,1,2,1,1,2,1,,00,10,1,,00,10,1,,00,10,1,1,1,1,1,2,2,1,0,0,0,0,0,0,1,,,2,2,2,1,1,1,3,3,3,2,1,1,3,2,,,2,,,2,08589,14,1,01,2,2,2,026,00273,1480
0859001103,0859001,08590011,21,08,2,2,6,2,2,1,1,1,1,1,1,1,1,2,,6,7,,,,,,1,1,001,,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,04,,,2,,,,,,,,2,2,1,2,1,2,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,2,,,,1,2,2,1,2,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,2,1,1,2,2,1,2,2,03,,,2,1,,,2,4,,,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2,5,2,2,2,,,1,2,1,3,1,2,,,2,,,2,,,2,08590,01,1,03,2,1,3,004,00010,4310
0859104102,0859104,08591041,34,03,3,2,5,2,2,1,1,1,1,1,1,1,1,2,,7,7,,,,,,1,1,008,,,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,3,2,1,1,1,1,1,1,2,3,2,2,1,1,1,2,2,,,,,,,,,,,2,2,2,2,1,2,0,1,0,0,0,0,0,0,0,3,1,2,2,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,1,1,2,,,,2,,,,,,,,1,0,0,1,0,0,0,0,0,2,,,,1,2,,,,,,,,2,2,1,2,1,2,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,7,,1,1,0,0,0,0,0,0,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,,,,1,1,2,,,,2,,,,2,,,,2,,,,2,2,2,,,,1,1,1,1,1,1,1,2,,,,,,,,1,,,2,1,1,0,0,0,1,0,0,0,0,3,6,2,1,2,2,1,2,2,1,,00,20,1,,00,20,1,,00,10,1,1,9,1,9,2,2,2,0,0,0,0,0,0,1,,,2,2,1,2,2,1,1,1,2,2,2,,,2,,,2,,,2,08591,04,1,02,2,1,1,045,00536,4969
0859204104,0859204,08592041,22,08,4,2,6,2,2,2,1,1,1,1,1,1,1,2,,1,,1,04500,2,1,1,1,1,029,,,2,2,1,2,2,2,1,,,,,,,,2,1,1,2,2,3,2,1,2,1,1,2,2,2,2,1,2,1,1,2,4,2,,,,,,,,,,,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,4,1,1,2,2,,,2,,,1,2,2,2,,,2,,2,,2,,,2,,,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,1,1,1,20,,,2,,,,,,,,1,0,1,0,0,0,0,0,0,2,,,,1,2,,,,,,,,2,2,2,,2,,2,,2,,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,1,1,2,2,1,1,02,,2,,,,,,,,2,2,,,,1,0,0,0,1,0,0,0,1,1,1,1,1,2,2,2,,1,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,,,,2,,1,2,3,,2,,,,2,,,,2,,,,2,2,2,,,,2,,,,,,,,,,,,,,,1,,,2,4,2,0,1,0,0,0,0,0,0,1,6,2,2,1,1,2,1,2,1,,00,12,1,,00,12,1,,00,08,1,1,1,1,1,1,2,2,0,0,0,1,0,0,0,1,,2,2,1,1,1,1,2,2,3,1,2,,,1,3,3,2,,,2,08592,04,1,04,1,2,5,171,02033,1383
0859301101,0859301,08593011,80,00,0,2,4,2,1,2,1,2,3,1,3,1,1,1,2,7,7,,,,,,1,1,023,,,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,3,2,1,3,1,2,1,3,3,1,3,3,3,2,2,2,2,1,2,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,2,,,2,,,1,1,2,2,,,2,,,2,,2,,2,,,2,,,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,2,,1,01,,,2,,,,,,,,7,0,0,1,0,0,0,0,0,2,,,,3,2,,,,,,,,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,7,,3,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,2,05,,,1,,00,10,2,1,,,2,9,2,2,2,2,2,1,0,0,0,0,0,0,1,,,3,3,1,2,2,1,9,9,3,1,1,1,1,2,,,2,,,2,08593,01,1,01,2,1,6,132,01531,2064
0859403101,0859403,08594031,66,02,4,2,6,2,1,1,2,2,1,1,1,1,1,2,,1,,1,03000,1,1,7,2,1,003,,,2,2,2,2,2,2,1,,,,,,,,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,2,,,1,1,2,1,1,2,2,,,2,,,2,,2,,2,,,2,,,0,0,1,0,1,0,0,0,0,0,0,2,,,,,,,,,,,2,,1,02,,,2,,,,,,,,7,0,0,1,0,0,0,0,0,2,,,,2,2,,,,,,,,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,5,,3,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,1,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,2,1,1,2,2,1,2,1,,00,30,1,,00,30,1,,00,15,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,3,,2,3,2,1,2,9,9,9,3,1,1,1,1,1,1,1,2,,,2,08594,03,1,01,1,1,1,015,00157,634
0859502103,0859502,08595021,27,08,3,2,6,2,2,1,1,1,1,1,1,1,1,1,4,1,,1,04000,2,1,1,1,1,018,,,2,2,2,2,2,2,1,,,,,,,,2,1,1,3,1,3,1,1,1,1,3,1,3,2,1,1,2,2,2,2,3,1,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,4,1,1,2,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,1,2,1,02,,,2,,,,,,,,2,0,1,0,0,0,0,0,0,2,,,,1,2,,,,,,,,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,7,,2,,,,,,,,3,3,2,,2,,2,2,,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,3,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,4,2,0,0,0,0,0,0,0,1,3,6,2,1,1,2,1,1,2,1,,00,30,1,,00,20,2,1,,,1,1,1,1,1,2,2,1,0,0,0,0,0,0,1,,,2,2,1,1,1,1,9,9,3,3,2,,,2,,,2,,,2,08595,02,1,03,2,2,3,104,01241,4558
0859619101,0859619,08596191,49,02,6,2,5,2,2,2,1,1,2,2,1,1,1,2,,1,,1,01600,1,2,7,1,1,007,,,2,2,2,1,2,2,1,,,,,,,,2,2,1,2,1,3,3,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,2,2,2,2,0,0,0,1,0,0,0,1,0,2,2,,,2,,,2,,,1,1,1,2,,,2,,2,,2,,,2,,,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,,1,02,,,2,,,,,,,,1,0,1,0,0,0,0,0,0,2,,,,9,1,0,0,0,0,0,0,1,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,8,,3,,,,,,,,3,3,2,,2,,2,2,,1,1,2,2,1,2,,,,1,2,2,1,1,2,2,1,2,,,,4,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,,00,30,2,3,,,2,8,,,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,3,,2,2,1,2,1,1,2,2,2,2,2,,,2,,,2,,,2,08596,19,1,01,1,4,6,039,00453,16972
0859703106,0859703,08597031,18,03,3,2,1,2,2,1,1,1,1,2,1,1,1,1,5,7,7,,,,,,1,1,021,,,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,3,1,1,1,1,3,1,2,3,3,2,2,2,2,1,2,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,04,,,2,,,,,,,,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,5,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,01,,,2,1,,,2,8,,,1,2,2,2,2,2,2,2,0,0,0,0,0,0,1,,,3,2,1,,,1,3,2,2,3,2,,,2,,,2,,,2,08597,03,1,06,2,3,5,115,01405,46983
0859815101,0859815,08598151,33,03,3,2,2,2,1,1,1,1,1,1,1,1,1,2,,1,,5,01000,1,2,7,1,1,024,,,2,2,1,1,2,2,1,,,,,,,,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,,,,,,,,,,,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,4,2,,,2,,,1,1,2,2,,,2,,,2,,2,,2,,,2,,,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,2,,1,00,1,5,2,,,,,,,,6,0,1,0,0,0,0,0,0,2,,,,3,2,,,,,,,,2,2,2,,2,,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,2,2,2,4,1,1,00,4,2,,,,,,,,2,2,,,,3,,,,,,,,3,3,2,,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,,,,3,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,03,,,1,,00,15,2,4,,,1,1,1,1,1,2,2,2,0,0,0,0,0,0,1,,,2,2,2,1,1,1,9,2,3,1,2,,,2,,,2,,,2,08598,15,1,01,2,2,2,135,01582,2195
0859904101,0859904,08599041,30,08,4,2,6,2,2,2,1,1,1,1,1,1,1,2,,1,,1,02000,1,1,7,1,1,006,,,1,1,1,1,2,2,1,,,,,,,,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,3,2,,,,,,,,,,,1,2,2,1,1,2,0,0,0,1,0,0,0,0,0,4,2,,,2,,,2,,,1,2,1,2,,,2,,2,,2,,,2,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2,,2,,,,2,,,,,,,,1,0,0,0,1,0,0,0,0,1,,,,4,1,0,0,0,0,0,0,1,2,2,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,3,3,1,2,2,,2,2,,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,2,2,1,1,2,1,2,1,,00,10,1,,00,10,1,,00,10,1,1,1,9,1,2,2,2,0,0,0,1,0,0,0,3,,2,2,1,1,1,1,2,3,3,1,2,,,2,,,2,,,2,08599,04,1,01,2,1,3,035,00419,829
